, name, guiname, plural, desc
#, Umweltschützer, Umweltschützer, Umweltschützer:, "Umweltschützer können sich jedem Teil des politischen Spektrums anschließen, teilen jedoch die Besorgnis über Umweltverschmutzung, Klimawandel und Tierrechte. Es gibt eine Vielzahl von Maßnahmen, die diese Probleme angehen können, Umweltschützer jedoch mehr mit dem Ergebnis als mit den Methoden befasst. Verschmutzung und Unwetterereignisse werden mehr Bürger dazu bringen, sich der Umweltschutzgruppe anzuschließen. "
#, Wohlhabende, wohlhabende, wohlhabende Menschen:, "Unabhängig davon, ob ihr Vermögen aus persönlicher Anstrengung oder Erbschaft stammt, repräsentiert diese Gruppe die Wähler, die am meisten durch Vermögen und Einkommenssteuern oder Steuern auf Luxusausgaben zu verlieren haben. Die Reichen sind mobiler als alle anderen andere soziale Gruppen, die so schwer effektiv zu besteuern sind. Beachten Sie auch, dass diejenigen mit mittlerem Einkommen danach streben, Wohlstand zu erreichen, und im Allgemeinen danach streben, nicht besteuert zu werden, wenn dies geschieht. "
#, Arme, Arme, Arme, "Diejenigen in der Gesellschaft, die wirtschaftlich benachteiligt sind, sind natürlich stärker auf Sozialleistungen des Staates angewiesen und interessieren sich sehr für Ungleichheit und alle Maßnahmen, die Geld von den Reichen zu einem Prozent auf den Rest übertragen Je nach Lohnniveau kann diese Gruppe eine große oder kleine Anzahl von Arbeitslosen umfassen. "
#, Mittelstand, Mittelstand, mittlere Einkommen, "Traditionell ein großer Teil der Bevölkerung, aber schrumpft leicht, wenn die Ungleichheit zunimmt. Die Mittelschichten sind im Allgemeinen politisch moderat, erwerbstätig, Autobesitzer genießen jedes Jahr einen Urlaub und streben danach Die Mittelschicht hat einen Anteil an der Gesellschaft, den sie nicht durch Unruhen oder Verbrechen verlieren möchte, was häufig zu zentristischen Ansichten führt. "
#, Eltern, Eltern, Eltern:, "Inwieweit sich die Wähler in erster Linie als Eltern betrachten, hängt davon ab, wie viele Kinder sie haben und wie jung sie sind. Personen mit großen jungen Familien reagieren äußerst sensibel auf Themen wie Kinderbetreuung oder Erschwinglichkeit und die Kosten und die Qualität des Bildungsangebots. Die Sicherheit der Schule und der Transport zur Schule sind ebenfalls große Probleme. "
#, Landwirte, Landwirte, Landwirte, "Nicht nur tatsächliche Landwirte, sondern auch Menschen in verbundenen Industrien und ländlichen Gemeinden. Die Prioritäten für ländliche Wähler unterscheiden sich häufig von denen in Hauptstädten und etwaigen Steuern (oder häufiger… Subventionen), die für die Landwirtschaft gelten wird ein großes Problem sein. Eine Tendenz zur Überregulierung der Lebensmittelproduktion wird bei dieser Gruppe wahrscheinlich unpopulär sein. "
#, StateEmployees, State Employees, State Employees, "Jeder, der in einer staatseigenen Industrie oder Dienstleistung arbeitet, fällt in diese Gruppe, zu der er sich möglicherweise stark identifiziert oder nicht. Dies schließt staatliche Gesundheits- und Bildungsarbeiter, aber häufig auch die Polizei und das Militär ein und Angestellte der lokalen Regierung. Niemand ist besser auf Kürzungen bei den öffentlichen Ausgaben eingestellt als diejenigen Wähler, bei denen solche Kürzungen sich direkt auf ihre Löhne und Beschäftigungsaussichten auswirken. "
#, Konservative, Konservative, Konservative, "Das Gegenteil von Liberalen, Konservativen, sind große Befürworter dessen, was allgemein als familiäre oder traditionelle Werte angesehen wird. Diese Gruppe ist wahrscheinlich gegen eine Liberalisierung der Drogenpolitik und empört durch sexuelle Skandale oder Missetaten. Konservative sind nicht an Identitätspolitik, Homo-Ehe, Untreue oder legalisierter Prostitution interessiert. "
#, Jung, Jugend, junge Leute, "Alt genug, um zu wählen, aber jung genug, um noch in der Ausbildung zu sein oder um aktuelle Erinnerungen daran zu haben. Natürlich konzentrieren sich die Jungen mehr auf Bildung als auf das Renten- oder Rentenalter. In einigen In einigen Fällen zahlen sie möglicherweise immer noch Schulden ab, die durch Gebühren während der Ausbildung entstehen. Politisch aktiver als im mittleren Alter. "
#, EthnicMinorities, ethnische Miderheiten, ethnische Miderheite, "In einigen Ländern ist die Minderheit schwarz, in anderen weiß, in anderen die ursprünglichen Ureinwohner. Ethnische Minderheiten sind offensichtlich stark von Rassismus in der Gesellschaft betroffen und werden auch von der Einwanderungspolitik betroffen sein könnte als diskriminierend angesehen werden. Angesichts der Verwandten in Übersee haben sie möglicherweise auch starke Ansichten zu den Außenbeziehungen. "
#, _all_, Jeder, Leute, "Jeder Wähler gehört zu dieser Gruppe und wird nur von Handlungen, Richtlinien und Situationen betroffen sein, die alle gleichermaßen betreffen, unabhängig von Alter, Beruf oder Vermögen."
